Date;Open;High;Low;Close;Adj Close;Volume;MM200;Mayer;Variation;Gain;Loss;Simple RS;Classic RS;Simple RSI;Classic RSI
2015-09-24;32.0;32.0;32.0;32.0;18.418901443481445;0;17.641057958602904;1.044092791186552;0.0;0.0;0.0;0.0;0.0033658016407220573;0.0;0.335451102202029
2015-09-25;32.0;32.0;32.0;32.0;18.418901443481445;0;17.654954838752747;1.0432709464117025;0.0;0.0;0.0;0.0;0.0033658016407220573;0.0;0.335451102202029
2015-09-28;32.0;32.0;32.0;32.0;18.418901443481445;0;17.668851718902587;1.0424503944292223;0.0;0.0;0.0;;0.0033658016407220573;;0.335451102202029
2015-09-29;32.0;32.0;32.0;32.0;18.418901443481445;0;17.68274859905243;1.041631132191093;0.0;0.0;0.0;;0.0033658016407220577;;0.335451102202029
2015-09-30;32.0;32.0;32.0;32.0;18.418901443481445;0;17.69664547920227;1.0408131566588705;0.0;0.0;0.0;;0.003365801640722057;;0.335451102202029
2015-10-01;32.0;32.0;32.0;32.0;18.418901443481445;0;17.71054235935211;1.0399964648036475;0.0;0.0;0.0;;0.003365801640722057;;0.335451102202029
2015-10-02;32.0;32.0;32.0;32.0;18.418901443481445;0;17.724439239501955;1.0391810536060155;0.0;0.0;0.0;;0.003365801640722057;;0.335451102202029
2015-10-05;32.0;32.0;32.0;32.0;18.418901443481445;0;17.738336119651795;1.0383669200560288;0.0;0.0;0.0;;0.0033658016407220564;;0.335451102202029
2015-10-06;32.0;32.0;32.0;32.0;18.418901443481445;0;17.752232999801635;1.0375540611531664;0.0;0.0;0.0;;0.0033658016407220564;;0.335451102202029
2015-10-07;32.0;32.0;32.0;32.0;18.418901443481445;0;17.766129879951478;1.0367424739062951;0.0;0.0;0.0;;0.0033658016407220564;;0.335451102202029
2015-10-08;32.0;32.0;32.0;32.0;18.418901443481445;0;17.780026760101318;1.0359321553336338;0.0;0.0;0.0;;0.003365801640722057;;0.335451102202029
2015-10-09;32.0;32.0;32.0;32.0;18.418901443481445;0;17.79392364025116;1.035123102462716;0.0;0.0;0.0;;0.0033658016407220573;;0.335451102202029
2015-10-13;32.0;32.0;32.0;32.0;18.418901443481445;0;17.807820520401002;1.0343153123303537;0.0;0.0;0.0;;0.0033658016407220573;;0.335451102202029
2015-10-14;32.0;32.0;32.0;32.0;18.418901443481445;0;17.821717400550842;1.033508781982602;0.0;0.0;0.0;;0.0033658016407220573;;0.335451102202029
2015-10-15;32.0;32.0;32.0;32.0;18.418901443481445;0;17.835614280700682;1.0327035084747218;0.0;0.0;0.0;;0.003365801640722057;;0.335451102202029
2015-10-16;32.0;32.0;32.0;32.0;18.418901443481445;0;17.849511160850525;1.0318994888711444;0.0;0.0;0.0;;0.0033658016407220573;;0.335451102202029
2015-10-19;32.0;32.0;32.0;32.0;18.418901443481445;100;17.863408041000366;1.031096720245437;0.0;0.0;0.0;;0.003365801640722057;;0.335451102202029
2015-10-20;32.0099983215332;32.0099983215332;32.0099983215332;32.0099983215332;18.424657821655273;300;17.877333703041078;1.0306155340447156;0.005756378173828125;0.005756378173828125;0.0;inf;0.046250298809527454;100.0;4.420576879371339
2015-10-21;32.119998931884766;32.119998931884766;32.119998931884766;32.119998931884766;18.487972259521484;1000;17.891575937271117;1.0333339178360457;0.06331443786621094;0.06331443786621094;0.0;inf;0.5542207420286469;100.0;35.65907512630736
2015-10-22;32.119998931884766;32.119998931884766;32.119998931884766;32.119998931884766;18.487972259521484;0;17.90581817150116;1.0325120071277658;0.0;0.0;0.0;inf;0.5542207420286469;100.0;35.65907512630736
2015-10-23;32.119998931884766;32.119998931884766;32.119998931884766;32.119998931884766;18.487972259521484;0;17.920060405731203;1.0316914028709776;0.0;0.0;0.0;inf;0.5542207420286469;100.0;35.65907512630736
2015-10-26;32.119998931884766;32.119998931884766;32.119998931884766;32.119998931884766;18.487972259521484;0;17.934302639961242;1.0308721019531897;0.0;0.0;0.0;inf;0.5542207420286469;100.0;35.65907512630736
2015-10-27;32.119998931884766;32.119998931884766;32.119998931884766;32.119998931884766;18.487972259521484;0;17.948544874191285;1.0300541012717892;0.0;0.0;0.0;inf;0.5542207420286469;100.0;35.65907512630736
2015-10-28;32.119998931884766;32.119998931884766;32.119998931884766;32.119998931884766;18.487972259521484;0;17.962787108421324;1.0292373977340044;0.0;0.0;0.0;inf;0.5542207420286469;100.0;35.65907512630736
2015-10-29;34.150001525878906;34.150001525878906;34.150001525878906;34.150001525878906;19.656423568725586;2200;17.982871599197388;1.0930636667395708;1.1684513092041016;1.1684513092041016;0.0;inf;15.177824387302737;100.0;93.81869912752387
2015-10-30;34.150001525878906;34.150001525878906;34.150001525878906;34.150001525878906;19.656423568725586;0;18.00295608997345;1.0918442210539534;0.0;0.0;0.0;inf;15.177824387302735;100.0;93.81869912752387
2015-11-03;34.150001525878906;34.150001525878906;34.150001525878906;34.150001525878906;19.656423568725586;0;18.023040580749512;1.0906274932166937;0.0;0.0;0.0;inf;15.177824387302735;100.0;93.81869912752387
2015-11-04;34.150001525878906;34.150001525878906;34.150001525878906;34.150001525878906;19.656423568725586;0;18.043125071525573;1.0894134741517705;0.0;0.0;0.0;inf;15.177824387302733;100.0;93.81869912752387
2015-11-05;34.150001525878906;34.150001525878906;34.150001525878906;34.150001525878906;19.656423568725586;0;18.063209562301637;1.0882021548235274;0.0;0.0;0.0;inf;15.177824387302735;100.0;93.81869912752387
2015-11-06;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;300;18.077509360313414;1.023342577074368;-1.1569385528564453;0.0;-1.1569385528564453;1.06965242206575;0.690723127053055;51.6827082007381;40.85371022616762
2015-11-09;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.091809158325194;1.0225337252884048;0.0;0.0;0.0;1.06965242206575;0.6907231270530552;51.6827082007381;40.853710226167635
2015-11-10;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.106108956336975;1.021726151128373;0.0;0.0;0.0;1.0646768957859698;0.6907231270530552;51.56627160205977;40.853710226167635
2015-11-11;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.120408754348755;1.0209198515695408;0.0;0.0;0.0;1.0099510525595603;0.690723127053055;50.24754464908208;40.85371022616762
2015-11-12;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.134708552360536;1.0201148235967168;0.0;0.0;0.0;1.0099510525595603;0.690723127053055;50.24754464908208;40.85371022616762
2015-11-13;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.149008350372313;1.0193110642042125;0.0;0.0;0.0;1.0099510525595603;0.6907231270530552;50.24754464908208;40.853710226167635
2015-11-16;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.163308148384093;1.018508570395804;0.0;0.0;0.0;1.0099510525595603;0.6907231270530553;50.24754464908208;40.85371022616764
2015-11-17;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.177607946395874;1.0177073391846965;0.0;0.0;0.0;1.0099510525595603;0.6907231270530553;50.24754464908208;40.85371022616764
2015-11-18;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.191907744407654;1.016907367593486;0.0;0.0;0.0;1.0099510525595603;0.6907231270530553;50.24754464908208;40.85371022616764
2015-11-19;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.206207542419435;1.0161086526541228;0.0;0.0;0.0;0.0;0.6907231270530552;0.0;40.853710226167635
2015-11-23;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.22050734043121;1.0153111914078747;0.0;0.0;0.0;0.0;0.6907231270530552;0.0;40.853710226167635
2015-11-24;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.234807138442992;1.0145149809052902;0.0;0.0;0.0;0.0;0.6907231270530553;0.0;40.85371022616764
2015-11-25;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.249106936454773;1.0137200182061625;0.0;0.0;0.0;0.0;0.6907231270530553;0.0;40.85371022616764
2015-11-26;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.263406734466553;1.012926300379494;0.0;0.0;0.0;0.0;0.690723127053055;0.0;40.85371022616762
2015-11-27;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.277168917655946;1.0121635959712796;0.0;0.0;0.0;;0.690723127053055;;40.85371022616762
2015-11-30;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.291077728271485;1.0113939315492346;0.0;0.0;0.0;;0.6907231270530552;;40.853710226167635
2015-12-01;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.304986538887025;1.010625436766584;0.0;0.0;0.0;;0.6907231270530553;;40.85371022616764
2015-12-02;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.319286336898802;1.0098365556199305;0.0;0.0;0.0;;0.6907231270530553;;40.85371022616764
2015-12-03;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.333586134910583;1.0090489050935134;0.0;0.0;0.0;;0.6907231270530553;;40.85371022616764
2015-12-04;32.13999938964844;32.13999938964844;32.13999938964844;32.13999938964844;18.49948501586914;0;18.347885932922363;1.008262482310006;0.0;0.0;0.0;;0.6907231270530553;;40.85371022616764
